0.09,0.18,0.02,0.07,0.06,0.04,0.04,0.01,0.06,0.15,0,0,0.27
NA,NA,0.03,0.03,0.33,0.02,0,0.05,0.18,0.05,0.03,0.02,0.25
NA,NA,NA,0.04,0.04,0.02,0.04,0.02,0.3,0.29,0.02,0.02,0.21
NA,NA,NA,0.22,0.17,0,0.06,0,0.07,0.27,0,0.05,0.15
NA,NA,NA,NA,0.12,0,0,0.06,0.36,0.27,0.03,0.02,0.13
NA,NA,NA,NA,NA,0.24,0.05,0,0.08,0.13,0,0,0.5
NA,NA,NA,NA,NA,0.04,0.05,0.02,0.26,0.49,0,0.09,0.05
NA,NA,NA,NA,NA,0.04,0.05,0.02,0.26,0.49,0,0.09,0.05
NA,NA,NA,NA,NA,NA,0.05,0,0.69,0.19,0,0,0.07
NA,NA,NA,NA,NA,NA,0.05,0,0.69,0.19,0,0,0.07
NA,NA,NA,NA,NA,NA,0.05,0,0.69,0.19,0,0,0.07
NA,NA,NA,NA,NA,NA,NA,0.05,0.46,0.38,0.06,0.01,0.05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0,0.89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.21,0.45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
